campaign_id,발송일시,세그먼트,대상 인원,메시지 요약,상태,approval_mode
ea1fdee0,2026-07-23 17:36,브랜드 충성 고객,1,"제목: ⭐ [VIP 전용] 고객님만을 위한 특별 혜택이 도착했습니다

본문: 항상 저희 브...",예약 자동 발송 (성공 1/실패 0),자동실행
d1e287b8,2026-07-24 18:13,브랜드 충성 고객,1,"제목: ⭐ [VIP 전용] 고객님만을 위한 특별 혜택이 도착했습니다

본문: 항상 저희 브...",예약 자동 발송 (성공 1/실패 0),자동실행
511868e7,2026-07-26 17:33,신규 탐색자,1,"제목: (광고) 첫 구매, 지금이 딱 좋아요 🏃‍♀️

지금 Athlepa를 처음 만나기 ...",테스트 발송,자동실행
18a9043b,2026-07-26 17:34,신규 탐색자,1,"제목: (광고) 첫 구매, 지금이 딱 좋아요 🏃‍♀️

지금 Athlepa를 처음 만나기 ...",예약 등록 완료 (2026-07-26 17:45 SendGrid 자동 발송 예정),자동실행
a5053c46,2026-07-26 17:41,신규 탐색자,2,"제목: (광고) Athlepa 왔다면, 여기서 시작하세요 👟

지금 가입하셨다면 신규회원 ...",예약 등록 완료 (2026-07-26 17:45 SendGrid 자동 발송 예정),자동실행
d2468fcc,2026-07-26 17:44,신규 탐색자,2,"제목: (광고) Athlepa 왔다면, 여기서 시작하세요 👟

지금 가입하셨다면 신규회원 ...",예약 등록 완료 (2026-07-26 17:45 SendGrid 자동 발송 예정),자동실행
452f7fe2,2026-07-26 22:29,장바구니 이탈 고객,1,"제목: (광고) 담아둔 그 아이템, 곧 사라져요 🛒

담아두고 고민 중인 아이템, 아직 기...",테스트 발송,자동실행
526e7925,2026-07-26 22:29,장바구니 이탈 고객,2,"제목: (광고) 담아둔 그 아이템, 곧 사라져요 🛒

담아두고 고민 중인 아이템, 아직 기...",전체 발송 완료 (테스트 2명 중 2명 성공),자동실행
c4d6342e,2026-07-27 01:26,신규 탐색자,2,"제목: (광고) 첫 구매, 베스트로 시작하세요 🏃‍♀️

지금 Athlepa에서 가장 많이...",예약 등록 완료 (2026-07-27 09:00 SendGrid 자동 발송 예정),자동실행
364a7b5f,2026-07-27 19:55,신규 탐색자,1,"제목: (광고) 첫 구매, 20% 할인 혜택 🎁

Athlepa에 오신 걸 환영해요! 신규...",테스트 발송,자동실행
ba25d4c8,2026-07-27 19:55,신규 탐색자,2,"제목: (광고) 첫 구매, 20% 할인 혜택 🎁

Athlepa에 오신 걸 환영해요! 신규...",전체 발송 완료 (테스트 2명 중 2명 성공),자동실행
