send_id,campaign_id,user_id,segment,channel,sent_at,delivered,opened_at,clicked_at,converted_order_id,conversion_type,revenue
c5d6473f,164ff066,de087456,할인 구매자,webpush,2026-04-27 17:06:00,True,,2026-04-27 19:16:00,,,
4b0cb13a,164ff066,59e5be08,할인 구매자,webpush,2026-04-27 06:02:00,True,,,,,
e03d1901,164ff066,d6617f8f,할인 구매자,webpush,2026-04-27 07:05:00,True,,2026-04-27 09:30:00,,,
a0af5f90,164ff066,70982521,할인 구매자,webpush,2026-04-27 03:14:00,True,,,,,
643b3d6d,164ff066,1f8a77e1,할인 구매자,webpush,2026-04-27 01:36:00,True,,2026-04-27 02:33:00,,,
8e38c2a9,164ff066,66b873b1,할인 구매자,webpush,2026-04-27 01:35:00,True,,2026-04-27 02:12:00,,,
5a11f042,164ff066,682f84dc,할인 구매자,webpush,2026-04-27 17:07:00,True,,,,,
f7dce306,164ff066,cd7a024e,할인 구매자,webpush,2026-04-27 21:11:00,True,,,,,
456ee0a1,164ff066,570d280d,할인 구매자,webpush,2026-04-27 06:23:00,True,,,,,
318ba35d,164ff066,31009595,할인 구매자,webpush,2026-04-27 18:03:00,True,,,,,
9be56ba3,164ff066,ff9f1220,할인 구매자,webpush,2026-04-27 17:27:00,True,,,,,
4569c988,164ff066,568858fb,할인 구매자,webpush,2026-04-27 14:23:00,True,,,,,
ce191e95,164ff066,2977f6a9,할인 구매자,webpush,2026-04-27 22:49:00,True,,,,,
99a5379a,164ff066,09022ff7,할인 구매자,webpush,2026-04-27 16:31:00,True,,,,,
1f0bd912,164ff066,cd52711f,할인 구매자,webpush,2026-04-27 09:38:00,False,,,,,
7ea33684,164ff066,f89df1e6,할인 구매자,webpush,2026-04-27 03:32:00,True,,,,,
9f89f393,164ff066,db485c4c,할인 구매자,webpush,2026-04-27 04:59:00,True,,2026-04-27 07:51:00,,,
42a536f2,164ff066,d82186c8,할인 구매자,webpush,2026-04-27 02:48:00,True,,,,,
010b9204,164ff066,ce356df3,할인 구매자,webpush,2026-04-27 10:21:00,True,,,,,
d040520a,164ff066,60a88f79,할인 구매자,webpush,2026-04-27 18:51:00,True,,,,,
f5e0ee79,164ff066,cfc8ede8,할인 구매자,webpush,2026-04-27 08:30:00,True,,2026-04-27 11:30:00,,,
143c7be7,164ff066,13b63f67,할인 구매자,webpush,2026-04-27 09:41:00,True,,,,,
82de45ba,164ff066,8aa26f35,할인 구매자,webpush,2026-04-27 14:18:00,True,,,,,
d69c8211,164ff066,0003fde3,할인 구매자,webpush,2026-04-27 11:01:00,True,,,,,
05dc570e,164ff066,5027a110,할인 구매자,webpush,2026-04-27 19:07:00,True,,2026-04-27 20:21:00,,,
e9cfd2c8,164ff066,afa4e231,할인 구매자,webpush,2026-04-27 04:47:00,True,,,,,
03bd5ad7,164ff066,c006724e,할인 구매자,webpush,2026-04-27 15:05:00,True,,,,,
95f63356,164ff066,01d47a39,할인 구매자,webpush,2026-04-27 08:56:00,True,,,,,
ab2a35ba,164ff066,760be2ce,할인 구매자,webpush,2026-04-27 17:17:00,True,,,,,
c56d6315,164ff066,b8b4943d,할인 구매자,webpush,2026-04-27 21:56:00,True,,2026-04-27 22:18:00,,,
a26f07a7,164ff066,c006e392,할인 구매자,webpush,2026-04-27 05:09:00,True,,2026-04-27 07:14:00,,,
c87deab3,164ff066,8697a505,할인 구매자,webpush,2026-04-27 18:11:00,True,,2026-04-27 19:59:00,,,
1d83369c,164ff066,e3663601,할인 구매자,webpush,2026-04-27 17:23:00,True,,2026-04-27 17:56:00,,,
f9e5644e,164ff066,9e24c9f5,할인 구매자,webpush,2026-04-27 22:54:00,True,,,,,
e5cedfae,164ff066,da0942d8,할인 구매자,webpush,2026-04-27 21:47:00,True,,,,,
73cc6b17,164ff066,e82821bd,할인 구매자,webpush,2026-04-27 21:51:00,True,,,,,
2b4e19a8,164ff066,19f93e81,할인 구매자,webpush,2026-04-27 12:06:00,True,,,,,
4723aae2,164ff066,62d56f32,할인 구매자,webpush,2026-04-27 06:04:00,False,,,,,
07a6f9d5,164ff066,c8a6c98b,할인 구매자,webpush,2026-04-27 14:10:00,True,,,,,
8b5e0909,164ff066,147cba4b,할인 구매자,webpush,2026-04-27 03:00:00,True,,,,,
889af11c,164ff066,9e048ce6,할인 구매자,webpush,2026-04-27 11:39:00,True,,,,,
51e1f61c,164ff066,afb4cfcf,할인 구매자,webpush,2026-04-27 19:24:00,True,,2026-04-27 20:53:00,,,
804d6127,164ff066,d207263b,할인 구매자,webpush,2026-04-27 19:23:00,True,,2026-04-27 21:28:00,,,
2a04d374,164ff066,713cf98d,할인 구매자,webpush,2026-04-27 14:30:00,True,,2026-04-27 14:57:00,,,
76fb542e,164ff066,d7b23e5b,할인 구매자,webpush,2026-04-27 23:21:00,True,,,,,
f61a9ec1,164ff066,1d457e96,할인 구매자,webpush,2026-04-27 22:10:00,True,,2026-04-28 00:26:00,7f1a9530,direct,120799
